tweet_id,author_id,incoming_text,brand,intent_hint,in_response_to_tweet_id,historical_resolution
2389685,638313,"@115850  whats the status of my problem related to mis deliver of my product to someone else with order id 
https://t.co/gs6nUOFERy I'm getting irritated by texting u many times.i need final solution.",AmazonHelp,,,@638313 Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. 2/2 ^AH
2790571,778851,@AmazonHelp Still not arrived. Sent an email but have to wait up to 12 hours to find out where my parcels are? Another day and another non existent delivery attempt.,AmazonHelp,,2790570,"@778851 For immediate help, we also offer a chat support option. Orders like this typically arrive the following business day. Please keep us posted on the arrival! ^MB"
2553849,313956,@115850 should start cab business like Uber and Ola in India. I am sure they will give the best customer service like they give to the online shoppers. @115851 think about it. @115821,AmazonHelp,,,@313956 Knowing that customers are happy with our service means the world to us. We'll ensure to do every thing possible to provide the best customer experience in which ever services we launch. ^MN
848201,321575,@AmazonHelp Help! My Echo disappeared from my Bluetooth (it had been paired fine) and now won’t connect at all? https://t.co/LtA3tIQ79f,AmazonHelp,,,"@321575 We'd love to help, Amy! We have some troubleshooting for Bluetooth issues here: https://t.co/BX35hjwFM8 Keep us posted! ^AJ"
2205153,644771,"@AmazonHelp whatever AMZL US carrier service is, it has fucked up my order twice in a row. such a terrible carrier service",AmazonHelp,,2205156,"@644771 Oh no! I'm so sorry to hear this. We'd like to help in any way possible. Without providing personal or account information, could you tell us a little more about what happened? ^BL"
1693701,220654,Apparently if I wait at home until 9pm they *might* attempt to delivery my package again. @AmazonHelp “might attempt” but can’t confirm.,AmazonHelp,,,"@220654 We strive to make your delivery date! If you don't receive it by 2100, please reach out to us here: https://t.co/JzP7hlA23B ^AR"
1313405,426855,"@AmazonHelp Dis is really disappointing, u guys don’t even have a customer care number where we can speak to someone. It redirects people to your app.",AmazonHelp,,1313402,@426855 The link provided earlier by 'AR' shall allow you to reach out to our support team for assistance. ^YP
1507951,201311,"@115821 @AmazonHelp When I order from Amazon Japan, they arrive within 2 days of the release date? And in much better packaging? #confused. #primemember #noperk",AmazonHelp,,1507952,"@201311 HellO, What was the delivery date provided to you via email confirmation when you placed the order? Has that passed?  ^CR"
1835756,550507,@AmazonHelp リプライありがとうございます。出品者の方へ問い合わせの旨を連絡しました。,AmazonHelp,,1835757,@550507 お手数をおかけいたしました。出品者からの回答をお待ちくださいませ。RI
1225712,407556,"@AmazonHelp Why while purchasing in amazon website, it doesn't proceed without saving card details?",AmazonHelp,,1225707,@407556 This is an option we have provided for faster checkout. You may delete your details at any moment of time if necessary. ^MK
2236354,652191,"@AmazonHelp sto aspettando un pacco spedito con corriere sailpost: il tracking mi dà in transito da 3 giorni e la consegna era prevista per ieri, si può sapere quando arriverà? Comunque con sailpost la roba arriva sempre in ritardo",AmazonHelp,,,"@652191 Mi spiace per il ritardo! Se non l hai ancora fatto, ti suggerisco di contattare il nostro Servizio Clienti cliccando qui: https://t.co/EL6oqRmrqv A presto! ^SP"
2570398,728976,@AmazonHelp they are older,AmazonHelp,,2570397,@728976 All the contest winners are announced there Shamsher. ^HN
2431192,697873,"Truly awful customer service from @amazonhelp cards. Put unnecessary fraud block on mum's card, then refused to deal with me even though she is partially deaf and had given permission. Said she 'failed' security because she couldn't hear and refused to let us speak to a manager.",AmazonHelp,,,@697873 Thanks for reaching out to us! Are you referring to the Amazon Store Card or the Amazon Rewards Visa? Please let us know so we can further assist! Thanks! ^SW
2301654,667972,@115821 Please fix! Can't share Music Unlimited Family with teens in your Amz Household. Why on earth not? Isn't that the point of Family plan? So frustrating!,AmazonHelp,,,"@667972 Amazon Music Unlimited can be shared with 6 profiles/devices that have access to a payment method. Teen profiles do not have access to purchasing content, but perhaps an ""adult profile"" with purchase/parental controls could be a work around. https://t.co/H6iB40Smhj ^MJ"
755075,272837,@AmazonHelp What your bosses are doing? Planning for cheating more and more? @115851 @1840 shame on you guys. U don't even care what hapns to cust.,AmazonHelp,,755073,"@272837 My apologies for the trouble, Narendra. Kindly revert to the email sent for more information on this. ^KS"
322021,192720,"@AmazonHelp Hallo!
Wie wäre es, wenn Email beantwortet werden????!!!
Einfach Konto sperren??? Ihr seid doch einfach toll!!!!!!!!!!!!!!!",AmazonHelp,,322023,"@192720 Hi, solltest du noch auf eine Rückmeldung warten, kannst du dich gerne auch zurückrufen lassen: https://t.co/1u1tyaiUrE Gruß ^MI"
691168,285159,@115850 E-commerce at danger wid player like Amazon.in looting our nation. Didn't received product and they show its delivered.Action,AmazonHelp,,,"@285159 We apologize for this, Ankit. Please connect with our support team : https://t.co/vlvfJr4nN9 and it'll be resolved. ^SK"
1501706,468562,"@468564 @115821 Good car. The ""new"" starter I bought off of @115821 was BADLY DEFECTIVE from jump, making horrible noises. Never buy car parts from Amazon!😡",AmazonHelp,,1501705,@468562 I'm sorry to hear about the parts! We'd like to see how we can help so please reach us here: https://t.co/hApLpMlfHN ^DD
651552,274953,@AmazonHelp Done. Don't know how many follow-ups are needed for 1 return. 😑,AmazonHelp,,651551,@274953 Thank you for sharing your details. We've received them and will get back to you with an update. ^AU
227734,170307,"@115850 Looks like a phishing scam
https://t.co/ZM3lUKMMjO",AmazonHelp,,,"@170307 Yes, this is not legit. Thanks for sharing, I'll pass this internally so our team could look it up. ^HT"
513573,238198,Hi  Good  Night   I  Buy  today  of  Morning   This  Book  From  Here  To  Eternity  Traveling  The  World   To  Find  The  God   Death   Buy  in  @117086   here  in  Brazil   I  Go  to  Put  one  Photo   of  Book,AmazonHelp,,,@238198 Hello Claudio. Is there any problem with your order? You can also contact us in portuguese if you want. ^JJ
562945,251776,"@AmazonHelp my prime order was supposed to arrive yesterday, still not here.",AmazonHelp,,,@251776 So sorry for the delay! Have you received an e-mail from us providing a new delivery date? You can also find that information here: https://t.co/7svvC5RcJK ^LS
113798,141276,"Apparently @116316 knows more about I want than myself. After cancelling my Prime membership some time ago, they just decided to renew it and charge me for it. Great job! (Not!)",AmazonHelp,,,@141276 This shouldn't happen! :( Please get in touch with our customer service via https://t.co/ohyvGrpvrY Our colleagues will have a look into this. ^SK
1730704,522963,@AmazonHelp This directs me to Amazon UK. Is that right?,AmazonHelp,,1730703,@522963 Oh! Thanks for bringing this to our attention! Please ring us here: https://t.co/hApLpMlfHN ^BH
2797181,780482,@AmazonHelp Amazon先生お優しい……🙏🙏🙏,AmazonHelp,,2797180,@780482 Σd(*`･∀･´*)✨　MS
2311182,670290,So @115821 is telling me that my package has been expected to deliver by the 29th of November. But it’s telling me tonight it should arrive at my house today. Two hours ago. But still expected to arrive the 29th. I’m so confused! Ahhhhh.,AmazonHelp,,,"@670290 Tony, I'm sorry for the confusing information. Can you tell me, without providing personal account information, who the carrier is? Check order status here:  https://t.co/hApLpMlfHN"
582657,257372,"Amazon Fire TV stick
届いたからやってみたー！！
テレビっ子には天国😍！！！
息子が20時半には寝るとして
それから１時くらいまで
テレビ漬けじゃ(∩´∀`∩)💕

まあそれはこれ買う前から
変わらない生活だけど( 笑 ) https://t.co/1Epk6vl6a1",AmazonHelp,,,"@257372 |´-`)ﾁﾗｯ　Fire TV Stickをお買い求めいただき、ありがとうございます😊✨
たくさんの作品をぜひお楽しみくださいませ🎉📺 HM"
2602214,463673,@AmazonHelp Yeah there is no dispatch date there. Just one day delivery due Moday.,AmazonHelp,,2602215,@463673 One day delivery is from when it is dispatched. Here's more information: https://t.co/WKEDgjCz0O ^PK
1121327,384515,@AmazonHelp customers to whom you have shipped defective products?,AmazonHelp,,1121325,@384515 If the order is defective you would need to contact us so we can verify your options ^AS
1608643,493962,"@AmazonHelp Gracias, María José me ha ayudado a la perfección. Buen día!!",AmazonHelp,,1608642,"@493962 Nos alegra mucho saberlo, recuerda que estamos para ayudarte en lo que necesites. ^HC"
994067,355490,"@115850 
Amazon is cheating the consumers. very dissatisfied with amazon. I have ordered my phone with no cost EMI but they dint converted",AmazonHelp,,,@355490 Sorry about that. We'd like to help. Kindly get in touch with our support team here:https://t.co/rS49hgaADF ^AK
1451463,456824,"@AmazonHelp Hi, My account was locked and I was asked to send some docs to an ""Account Specialist"", I have but I need to speak with someone?",AmazonHelp,,,@456824 For the quickest resolution. Please follow the instructions sent to you via e-mail from our account specialist. ^SK
1299528,423729,Ordered a shirt for Halloween from @115821. Delivery date was the 28th. Now it’s not getting here until TUESDAY!!! 🤦🏼‍♀️😭 #whatgives,AmazonHelp,,,"@423729 Oh no, Kim! I'm sorry this has happened. Has the order reached the carrier? You can check here: https://t.co/FoMVgSuk3d ^BE"
2828088,185090,Hi @115830 I was wondering if One Day means something else now? This is not the only order I've made using #Prime where the One Day delivery is considerably more. https://t.co/d7rwLRMsD9,AmazonHelp,,,@185090 Hello! All orders include a processing time which may not include holidays and weekends. The One-Day shipping speed applies once your order is dispatched. More info here: https://t.co/pDkPn9e68y ^JY
2260622,658239,Amazonの支払い37kの筈なのに請求が17kしか来なくて困惑,AmazonHelp,,,"@658239 ご注文の請求金額が相違しておりますか？
コンビニ払いは、商品確保次第お支払い頂くので、分割してご請求される場合がございます。
なお、問題が解決しない場合は、確認させていただきますので、下記よりご連絡ください。https://t.co/bwBU0NvYIn TY"
435760,218509,@AmazonHelp they said that it will be there by 9pm. The shop its getting delivered to closes at 6pm&amp;they ignored the part where I asked about tracking,AmazonHelp,,435759,"@218509 Keep us updated on this shipment, Megan! We do strive to meet our delivery dates. ^SA"
409312,152461,"@AmazonHelp Check all my tweets, everything is there.",AmazonHelp,,409311,@152461 What was advised when you spoke with us directly on the chat? ^NV
977826,351908,"@115850 iphone 7 is cheaper than 6S on amazon india, what's the logic !!",AmazonHelp,,,"@351908 to offer you the lowest price, may result in fluctuations in our prices over time. (2/2) ^VM"
1325666,429322,@AmazonHelp I have updated in the 'delovery feedback' section. Kindly act on it.,AmazonHelp,,1325665,"@429322 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to the public. ^AK 2/2"
2435204,698723,Cancelled the order still it is showing the item is on its way. Tired with all time same issue😔 @115821 @115850,AmazonHelp,,,@698723 Sorry to know about that. Our team would be happy to help you out! Please contact us from here: https://t.co/vlvfJr4nN9 ^MP
2171433,636878,Amazon Prime... The force is not strong with you. Where is my Battlefront 2?!,AmazonHelp,,,"@636878 I'm sorry about the poor experience, Stuart! Is there an order that's late? If so, what's the status? Which site do you order from, https://t.co/nUUp5MLhYl or https://t.co/ykTUEmdsQA? ^FR"
1427956,451695,@AmazonHelp I guess one need to be celeb to get quick resolution. Not at all expected from AMAZON. #CustomerExperience  #CustomerService #CustServ,AmazonHelp,,1427952,"@451695 If you have shared your information, we'll work on it and get back to you. Keep an eye on your mail box. ^SM"
2453602,458016,"@AmazonHelp  order 114-1236224-5262618
Please re-deliver the 1st item as it missed the delivery.",AmazonHelp,,,@458016 I'm sorry we missed the delivery! We don't have access to accounts on Twitter. Please call here https://t.co/hApLpMlfHN ^TG
1012814,379236,@115850 Thanks for it,AmazonHelp,,1012811,@379236 You're welcome! :-) ^PR
1114351,383000,Hola @116928 este aviso que me llega al móvil entiendo que no es vuestro verdad? https://t.co/yteIOVqKTx,AmazonHelp,,,"@383000 Hola Cubillo, correcto no nos pertenece, nuestras publicaciones de promociones son exclusivamente realizadas en las redes 1/2"
127963,144764,@AmazonHelp I’ve heard a hell lot of this . Will believe when it’s done and I’m never coming back to amazon,AmazonHelp,,127964,@144764 I get your disappointment. Please be assured that we're working on your concern and will get back to you soon. Appreciate your patience. ^MO
1521134,472825,what the heck happened to this thing 🤔 @115821 https://t.co/4rPtFQlv94,AmazonHelp,,,@472825 I'm sorry for how your order arrived! Was anything inside the box damaged? ^AC
